keyword,type,date,index,province,year
财神,pc,2011-01-28,59,重庆,2011
财神,pc,2011-01-29,59,重庆,2011
财神,pc,2011-01-30,61,重庆,2011
财神,pc,2011-01-31,59,重庆,2011
财神,pc,2011-02-01,70,重庆,2011
财神,pc,2011-02-02,64,重庆,2011
财神,pc,2011-02-03,59,重庆,2011
财神,pc,2011-02-04,63,重庆,2011
财神,pc,2011-02-05,0,重庆,2011
财神,pc,2011-02-06,63,重庆,2011
财神,pc,2011-02-07,80,重庆,2011
财神,pc,2011-02-08,61,重庆,2011
财神,pc,2011-02-09,66,重庆,2011
财神,pc,2011-02-10,68,重庆,2011
财神,pc,2011-02-11,72,重庆,2011
财神,pc,2011-02-12,59,重庆,2011
财神,pc,2011-02-13,57,重庆,2011
财神,pc,2011-02-14,57,重庆,2011
财神,pc,2011-02-15,57,重庆,2011
财神,pc,2011-02-16,63,重庆,2011
财神,pc,2011-02-17,66,重庆,2011
财神,pc,2011-02-18,64,重庆,2011
财神,pc,2011-02-19,59,重庆,2011
财神,pc,2011-02-20,61,重庆,2011
财神,pc,2011-02-21,57,重庆,2011
财神,pc,2011-02-22,61,重庆,2011
财神,pc,2011-02-23,59,重庆,2011
财神,pc,2011-02-24,61,重庆,2011
财神,pc,2011-02-25,64,重庆,2011
财神,pc,2011-02-26,59,重庆,2011
财神,pc,2011-02-27,59,重庆,2011
财神,pc,2011-02-28,64,重庆,2011
财神,pc,2011-03-01,63,重庆,2011
财神,pc,2011-03-02,61,重庆,2011
财神,pc,2011-03-03,57,重庆,2011
财神,pc,2011-03-04,61,重庆,2011
财神,pc,2011-03-05,61,重庆,2011
财神,pc,2011-03-06,63,重庆,2011
财神,pc,2011-03-07,0,重庆,2011
财神,pc,2011-03-08,61,重庆,2011
财神,pc,2011-03-09,64,重庆,2011
财神,pc,2011-03-10,0,重庆,2011
财神,pc,2011-03-11,63,重庆,2011
财神,pc,2011-03-12,63,重庆,2011
财神,pc,2011-03-13,63,重庆,2011
财神,pc,2011-03-14,59,重庆,2011
财神,pc,2011-03-15,59,重庆,2011
财神,pc,2011-03-16,0,重庆,2011
财神,pc,2011-03-17,57,重庆,2011
财神,pc,2011-03-18,63,重庆,2011
财神,pc,2011-03-19,61,重庆,2011
财神,pc,2011-03-20,57,重庆,2011
财神,pc,2011-03-21,64,重庆,2011
财神,pc,2011-03-22,61,重庆,2011
财神,pc,2011-03-23,61,重庆,2011
财神,pc,2011-03-24,63,重庆,2011
财神,pc,2011-03-25,59,重庆,2011
财神,pc,2011-03-26,57,重庆,2011
财神,pc,2011-03-27,57,重庆,2011
财神,pc,2011-03-28,57,重庆,2011
财神,pc,2011-03-29,59,重庆,2011
财神,pc,2011-03-30,63,重庆,2011
财神,pc,2011-03-31,57,重庆,2011
财神,pc,2011-04-01,61,重庆,2011
财神,pc,2011-04-02,57,重庆,2011
财神,pc,2011-04-03,63,重庆,2011
财神,pc,2011-04-04,66,重庆,2011
财神,pc,2011-04-05,61,重庆,2011
财神,pc,2011-04-06,61,重庆,2011
财神,pc,2011-04-07,61,重庆,2011
财神,pc,2011-04-08,59,重庆,2011
财神,pc,2011-04-09,57,重庆,2011
财神,pc,2011-04-10,64,重庆,2011
财神,pc,2011-04-11,0,重庆,2011
财神,pc,2011-04-12,61,重庆,2011
财神,pc,2011-04-13,64,重庆,2011
财神,pc,2011-04-14,61,重庆,2011
财神,pc,2011-04-15,59,重庆,2011
财神,pc,2011-04-16,66,重庆,2011
财神,pc,2011-04-17,57,重庆,2011
财神,pc,2011-04-18,63,重庆,2011
财神,pc,2011-04-19,57,重庆,2011
财神,pc,2011-04-20,57,重庆,2011
财神,pc,2011-04-21,61,重庆,2011
财神,pc,2011-04-22,57,重庆,2011
财神,pc,2011-04-23,57,重庆,2011
财神,pc,2011-04-24,64,重庆,2011
财神,pc,2011-04-25,0,重庆,2011
财神,pc,2011-04-26,0,重庆,2011
财神,pc,2011-04-27,64,重庆,2011
财神,pc,2011-04-28,57,重庆,2011
财神,pc,2011-04-29,57,重庆,2011
财神,pc,2011-04-30,0,重庆,2011
财神,pc,2011-05-01,59,重庆,2011
财神,pc,2011-05-02,66,重庆,2011
财神,pc,2011-05-03,63,重庆,2011
财神,pc,2011-05-04,57,重庆,2011
财神,pc,2011-05-05,59,重庆,2011
财神,pc,2011-05-06,59,重庆,2011
财神,pc,2011-05-07,61,重庆,2011
财神,pc,2011-05-08,64,重庆,2011
财神,pc,2011-05-09,61,重庆,2011
财神,pc,2011-05-10,59,重庆,2011
财神,pc,2011-05-11,57,重庆,2011
财神,pc,2011-05-12,72,重庆,2011
财神,pc,2011-05-13,0,重庆,2011
财神,pc,2011-05-14,57,重庆,2011
财神,pc,2011-05-15,0,重庆,2011
财神,pc,2011-05-16,61,重庆,2011
财神,pc,2011-05-17,66,重庆,2011
财神,pc,2011-05-18,64,重庆,2011
财神,pc,2011-05-19,61,重庆,2011
财神,pc,2011-05-20,57,重庆,2011
财神,pc,2011-05-21,59,重庆,2011
财神,pc,2011-05-22,74,重庆,2011
财神,pc,2011-05-23,59,重庆,2011
财神,pc,2011-05-24,57,重庆,2011
财神,pc,2011-05-25,59,重庆,2011
财神,pc,2011-05-26,61,重庆,2011
财神,pc,2011-05-27,61,重庆,2011
财神,pc,2011-05-28,57,重庆,2011
财神,pc,2011-05-29,0,重庆,2011
财神,pc,2011-05-30,57,重庆,2011
财神,pc,2011-05-31,57,重庆,2011
财神,pc,2011-06-01,57,重庆,2011
财神,pc,2011-06-02,59,重庆,2011
财神,pc,2011-06-03,59,重庆,2011
财神,pc,2011-06-04,57,重庆,2011
财神,pc,2011-06-05,57,重庆,2011
财神,pc,2011-06-06,57,重庆,2011
财神,pc,2011-06-07,57,重庆,2011
财神,pc,2011-06-08,61,重庆,2011
财神,pc,2011-06-09,66,重庆,2011
财神,pc,2011-06-10,63,重庆,2011
财神,pc,2011-06-11,57,重庆,2011
财神,pc,2011-06-12,63,重庆,2011
财神,pc,2011-06-13,0,重庆,2011
财神,pc,2011-06-14,57,重庆,2011
财神,pc,2011-06-15,0,重庆,2011
财神,pc,2011-06-16,59,重庆,2011
财神,pc,2011-06-17,59,重庆,2011
财神,pc,2011-06-18,59,重庆,2011
财神,pc,2011-06-19,59,重庆,2011
财神,pc,2011-06-20,57,重庆,2011
财神,pc,2011-06-21,61,重庆,2011
财神,pc,2011-06-22,57,重庆,2011
财神,pc,2011-06-23,61,重庆,2011
财神,pc,2011-06-24,59,重庆,2011
财神,pc,2011-06-25,61,重庆,2011
财神,pc,2011-06-26,63,重庆,2011
财神,pc,2011-06-27,59,重庆,2011
财神,pc,2011-06-28,66,重庆,2011
财神,pc,2011-06-29,59,重庆,2011
财神,pc,2011-06-30,66,重庆,2011
财神,pc,2011-07-01,74,重庆,2011
财神,pc,2011-07-02,66,重庆,2011
财神,pc,2011-07-03,70,重庆,2011
财神,pc,2011-07-04,66,重庆,2011
财神,pc,2011-07-05,72,重庆,2011
财神,pc,2011-07-06,70,重庆,2011
财神,pc,2011-07-07,64,重庆,2011
财神,pc,2011-07-08,63,重庆,2011
财神,pc,2011-07-09,70,重庆,2011
财神,pc,2011-07-10,68,重庆,2011
财神,pc,2011-07-11,76,重庆,2011
财神,pc,2011-07-12,66,重庆,2011
财神,pc,2011-07-13,63,重庆,2011
财神,pc,2011-07-14,57,重庆,2011
财神,pc,2011-07-15,64,重庆,2011
财神,pc,2011-07-16,63,重庆,2011
财神,pc,2011-07-17,72,重庆,2011
财神,pc,2011-07-18,70,重庆,2011
财神,pc,2011-07-19,63,重庆,2011
财神,pc,2011-07-20,64,重庆,2011
财神,pc,2011-07-21,64,重庆,2011
财神,pc,2011-07-22,61,重庆,2011
财神,pc,2011-07-23,63,重庆,2011
财神,pc,2011-07-24,66,重庆,2011
财神,pc,2011-07-25,64,重庆,2011
财神,pc,2011-07-26,0,重庆,2011
财神,pc,2011-07-27,66,重庆,2011
财神,pc,2011-07-28,72,重庆,2011
财神,pc,2011-07-29,63,重庆,2011
财神,pc,2011-07-30,59,重庆,2011
财神,pc,2011-07-31,63,重庆,2011
财神,pc,2011-08-01,61,重庆,2011
财神,pc,2011-08-02,61,重庆,2011
财神,pc,2011-08-03,59,重庆,2011
财神,pc,2011-08-04,66,重庆,2011
财神,pc,2011-08-05,66,重庆,2011
财神,pc,2011-08-06,57,重庆,2011
财神,pc,2011-08-07,59,重庆,2011
财神,pc,2011-08-08,59,重庆,2011
财神,pc,2011-08-09,66,重庆,2011
财神,pc,2011-08-10,61,重庆,2011
财神,pc,2011-08-11,57,重庆,2011
财神,pc,2011-08-12,66,重庆,2011
财神,pc,2011-08-13,72,重庆,2011
财神,pc,2011-08-14,70,重庆,2011
财神,pc,2011-08-15,61,重庆,2011
财神,pc,2011-08-16,68,重庆,2011
财神,pc,2011-08-17,83,重庆,2011
财神,pc,2011-08-18,64,重庆,2011
财神,pc,2011-08-19,78,重庆,2011
财神,pc,2011-08-20,72,重庆,2011
财神,pc,2011-08-21,68,重庆,2011
财神,pc,2011-08-22,68,重庆,2011
财神,pc,2011-08-23,59,重庆,2011
财神,pc,2011-08-24,68,重庆,2011
财神,pc,2011-08-25,68,重庆,2011
财神,pc,2011-08-26,70,重庆,2011
财神,pc,2011-08-27,63,重庆,2011
财神,pc,2011-08-28,66,重庆,2011
财神,pc,2011-08-29,63,重庆,2011
财神,pc,2011-08-30,59,重庆,2011
财神,pc,2011-08-31,64,重庆,2011
财神,pc,2011-09-01,63,重庆,2011
